sort		id	pop	HI	IH
19	Aitana1	Aitana1	CUL	0.914975845	0.12173913
10	Adkam	Adkam	CUL	0.913894325	0.121330724
190	Masabi	Masabi	CUL	0.91800097	0.12130034
146	Karolia1	Karolia1	CUL	0.916224046	0.121197489
104	El_Lewa1	El_Lewa1	CUL	0.900631681	0.120991254
157	Kothreiki1	Kothreiki1	CUL	0.913484775	0.120831319
147	Karydolia1	Karydolia1	CUL	0.915414445	0.120698013
46	Bissani-5781	Bissani-5781	CUL	0.911621094	0.120117188
39	Beldi1	Beldi1	CUL	0.91031746	0.12010582
687	Toffahi-6211	Toffahi-6211	CUL	0.915071183	0.119783996
666	Salonenque	Salonenque	CUL	0.920176298	0.119490695
38	Beladi-577	Beladi-577	CUL	0.921039604	0.119306931
116	Gemlik	Gemlik	CUL	0.918377322	0.119257087
680	Sukkare1	Sukkare1	CUL	0.923394942	0.119163424
140	Jlot	Jlot	CUL	0.92218463	0.118898018
134	Idleb1	Idleb1	CUL	0.904868356	0.118728266
5	Abiad_Min_Omou1	Abiad_Min_Omou1	CUL	0.90872093	0.118604651
34	Baladi1	Baladi1	CUL	0.902056807	0.118511263
153	Khnfse1	Khnfse1	CUL	0.917869587	0.118466899
705	Zael_Al_Muhra1	Zael_Al_Muhra1	CUL	0.912537166	0.118434093
3	Abbadi_Abou_Gabra-6101	Abbadi_Abou_Gabra-6101	CUL	0.918938656	0.118305745
152	Khashabi-6311	Khashabi-6311	CUL	0.914414414	0.118118118
197	Mesyaf-6411	Mesyaf-6411	CUL	0.905299056	0.118048269
154	Khodieri1	Khodieri1	CUL	0.916625797	0.117704757
145	Karme1	Karme1	CUL	0.920762287	0.117352056
216	Negral_de	Negral_de	CUL	0.909090909	0.117021277
72	Cayon1	Cayon1	CUL	0.917901938	0.116305587
683	Tebabs1	Tebabs1	CUL	0.912869304	0.116174261
125	Grossa_di	Grossa_di	CUL	0.910869565	0.115458937
143	Karamani	Karamani	CUL	0.907673267	0.115346535
33	Baid_El_Hamam1	Baid_El_Hamam1	CUL	0.898963731	0.115025907
13	Aggezi_Oshime1	Aggezi_Oshime1	CUL	0.892609127	0.114583333
706	Zaity	Zaity	CUL	0.912378641	0.11407767
155	Kolybada	Kolybada	CUL	0.914051183	0.112988894
98	Djlot_Tadmori1	Djlot_Tadmori1	CUL	0.913801572	0.110510806
198	Mesyaf-6621	Mesyaf-6621	CUL	0.910531448	0.106777182
682	Tarabelsi1	Tarabelsi1	CUL	0.920835357	0.104905294
148	Kato_Drys	Kato_Drys	CUL	0.921636274	0.098570724
